Damage Type,Confidence,Est. Length (cm),Severity,Action Priority,Bounding Box
Burst,0.0%,0.3% Area,🟢 Low,Monitor Status,"[199.4, 0.0, 234.4, 5.0]"
Burst,0.0%,0.9% Area,🟢 Low,Monitor Status,"[213.8, 15.3, 241.4, 32.5]"
Burst,0.0%,0.7% Area,🟢 Low,Monitor Status,"[6.6, 2.2, 38.5, 12.8]"
Burst,0.0%,4.6% Area,🟠 Medium,Schedule Maintenance,"[0.9, 0.0, 50.4, 46.3]"
Burst,0.0%,2.6% Area,🟠 Medium,Schedule Maintenance,"[212.1, 32.0, 255.0, 62.9]"
Burst,0.0%,2.6% Area,🟠 Medium,Schedule Maintenance,"[115.7, 105.8, 160.8, 135.4]"
Burst,0.0%,14.8% Area,🔴 High,Immediate Repair,"[62.5, 58.1, 197.0, 113.5]"
Burst,0.0%,0.5% Area,🟢 Low,Monitor Status,"[232.0, 2.5, 258.4, 11.4]"
Burst,0.0%,0.6% Area,🟢 Low,Monitor Status,"[83.4, 9.5, 110.9, 21.1]"
Burst,0.0%,6.7% Area,🟠 Medium,Schedule Maintenance,"[192.5, 142.1, 259.6, 192.1]"
Burst,0.0%,2.7% Area,🟠 Medium,Schedule Maintenance,"[163.0, 174.9, 239.4, 193.0]"
Burst,0.0%,4.4% Area,🟠 Medium,Schedule Maintenance,"[141.9, 129.1, 190.2, 174.7]"
Burst,0.0%,1.3% Area,🟢 Low,Monitor Status,"[249.4, 5.9, 260.7, 64.7]"
Burst,0.0%,2.8% Area,🟠 Medium,Schedule Maintenance,"[245.1, 10.4, 260.7, 101.0]"
Burst,0.0%,1.4% Area,🟢 Low,Monitor Status,"[144.0, 14.7, 181.5, 33.5]"
Burst,0.0%,0.4% Area,🟢 Low,Monitor Status,"[0.0, 67.5, 5.5, 107.4]"
Burst,0.0%,3.9% Area,🟠 Medium,Schedule Maintenance,"[15.7, 89.2, 68.8, 125.7]"
Burst,0.0%,4.9% Area,🟠 Medium,Schedule Maintenance,"[37.3, 167.2, 138.9, 191.6]"
Burst,0.0%,2.4% Area,🟠 Medium,Schedule Maintenance,"[117.8, 101.4, 161.0, 129.8]"
Burst,0.0%,3.2% Area,🟠 Medium,Schedule Maintenance,"[86.0, 73.7, 150.6, 99.1]"
Burst,0.0%,3.2% Area,🟠 Medium,Schedule Maintenance,"[0.1, 58.0, 29.3, 113.7]"
Burst,0.0%,10.2% Area,🔴 High,Immediate Repair,"[186.4, 27.8, 254.8, 103.1]"
Burst,0.0%,2.5% Area,🟠 Medium,Schedule Maintenance,"[86.8, 119.1, 128.2, 149.0]"
Burst,0.0%,4.4% Area,🟠 Medium,Schedule Maintenance,"[221.2, 135.5, 260.1, 192.6]"
Burst,0.0%,0.2% Area,🟢 Low,Monitor Status,"[59.6, 0.0, 88.3, 4.2]"
Burst,0.0%,2.7% Area,🟠 Medium,Schedule Maintenance,"[91.1, 78.3, 136.1, 108.9]"
Burst,0.0%,24.6% Area,🔴 High,Immediate Repair,"[48.8, 75.3, 186.9, 165.2]"
Burst,0.0%,2.7% Area,🟠 Medium,Schedule Maintenance,"[0.0, 123.9, 19.9, 193.0]"
Burst,0.0%,16.2% Area,🔴 High,Immediate Repair,"[72.0, 100.7, 188.2, 170.8]"
Burst,0.0%,2.7% Area,🟠 Medium,Schedule Maintenance,"[43.2, 79.7, 79.3, 117.8]"
Burst,0.0%,1.8% Area,🟢 Low,Monitor Status,"[196.8, 178.4, 259.5, 193.0]"
Burst,0.0%,0.7% Area,🟢 Low,Monitor Status,"[142.3, 2.4, 179.2, 11.7]"
Burst,0.0%,4.1% Area,🟠 Medium,Schedule Maintenance,"[0.6, 35.7, 96.6, 57.4]"
Burst,0.0%,22.9% Area,🔴 High,Immediate Repair,"[35.6, 69.9, 166.5, 158.2]"
Burst,0.0%,10.2% Area,🔴 High,Immediate Repair,"[0.9, 35.5, 97.6, 89.0]"
Burst,0.0%,0.2% Area,🟢 Low,Monitor Status,"[203.5, 0.0, 228.5, 4.0]"
Burst,0.0%,1.9% Area,🟢 Low,Monitor Status,"[2.5, 180.1, 77.3, 193.0]"
Burst,0.0%,1.6% Area,🟢 Low,Monitor Status,"[196.3, 42.7, 228.2, 68.2]"
